true,restored,edge_type
"['10.5935/0100-4042.20140049', 'Cytotoxic']","['10.5935/0100-4042.20140049', ['Cytotoxic', 'Antifungal', 'Antiangiogenic', 'Antitrypanosomal', 'Inhibition of Acetylcholinesterase', 'Inhibition of Glycosidase', 'Antileishmanial', 'Insecticidal', 'Anxiolytic', 'Antioxidant', 'Anti-inflamatory', 'Antiviral', 'Inhibition of Protease', 'Antiallergenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of uncoupled electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of ATP synthesis', 'Antimalarial', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antichagasic', 'Anticancer', 'Mutagenic', 'Genotoxic', 'Insect antennae response', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1080/14786410903335232', 'Anticancer']","['10.1080/14786410903335232', ['Antioxidant', 'Antitrypanosomal', 'Antifungal', 'Inhibition of Glycosidase', 'Antiallergenic', 'Antileishmanial', 'Anti-inflamatory', 'Inhibition of Acetylcholinesterase', 'Inhibition of Protease', 'Antiviral', 'Cytotoxic', 'Antibacterial', 'Antiangiogenic', 'Insecticidal', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Antimalarial', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1016/j.phytol.2010.11.003', 'Antifungal']","['10.1016/j.phytol.2010.11.003', ['Antioxidant', 'Antitrypanosomal', 'Antileishmanial', 'Antifungal', 'Inhibition of Acetylcholinesterase', 'Inhibition of Glycosidase', 'Anti-inflamatory', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Cytotoxic', 'Antimalarial', 'Insecticidal', 'Inhibition of Protease', 'Antiviral', 'Antiallergenic', 'Antiangiogenic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Anxiolytic', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1016/j.jep.2007.09.020', 'Antileishmanial']","['10.1016/j.jep.2007.09.020', ['Antitrypanosomal', 'Antifungal', 'Antioxidant', 'Inhibition of Glycosidase', 'Antileishmanial', 'Cytotoxic', 'Inhibition of Acetylcholinesterase', 'Antibacterial', 'Antiangiogenic', 'Antiallergenic', 'Insecticidal', 'Anti-inflamatory', 'Anxiolytic', 'Antiviral', 'Inhibition of Protease', 'Inhibition of Myeloperoxodase', 'Antimalarial', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1016/j.chroma.2009.02.009', 'Antimalarial']","['10.1016/j.chroma.2009.02.009', ['Antioxidant', 'Antifungal', 'Antitrypanosomal', 'Antileishmanial', 'Inhibition of Glycosidase', 'Cytotoxic', 'Inhibition of Acetylcholinesterase', 'Anti-inflamatory', 'Insecticidal', 'Antiviral', 'Inhibition of Protease', 'Antiangiogenic', 'Antibacterial', 'Antimalarial', 'Inhibition of Myeloperoxodase', 'Antiallergenic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Anxiolytic', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1590/S0100-40422008000400018', 'Inhibition of Myeloperoxodase']","['10.1590/S0100-40422008000400018', ['Cytotoxic', 'Antifungal', 'Inhibition of Acetylcholinesterase', 'Antitrypanosomal', 'Antiangiogenic', 'Anti-inflamatory', 'Antioxidant', 'Inhibition of Glycosidase', 'Inhibition of Protease', 'Antiviral', 'Anxiolytic', 'Antileishmanial', 'Insecticidal', 'Antiallergenic', 'Inhibition of Myeloperoxodase', 'Antibacterial', 'Inhibition of uncoupled electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of ATP synthesis', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antichagasic', 'Anticancer', 'Antimalarial', 'Mutagenic', 'Genotoxic', 'Insect antennae response', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1590/S0100-40422012000700020', 'Inhibition of Acetylcholinesterase']","['10.1590/S0100-40422012000700020', ['Cytotoxic', 'Antifungal', 'Inhibition of Acetylcholinesterase', 'Antiangiogenic', 'Antitrypanosomal', 'Inhibition of Glycosidase', 'Antioxidant', 'Antileishmanial', 'Anti-inflamatory', 'Anxiolytic', 'Inhibition of Protease', 'Antiviral', 'Insecticidal', 'Antiallergenic', 'Inhibition of Myeloperoxodase', 'Antibacterial', 'Inhibition of uncoupled electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of basal electron transport', 'Inhibition of ATP synthesis', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antichagasic', 'Anticancer', 'Antimalarial', 'Mutagenic', 'Genotoxic', 'Insect antennae response', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1021/np049863m', 'Antioxidant']","['10.1021/np049863m', ['Antitrypanosomal', 'Antioxidant', 'Inhibition of Glycosidase', 'Antiangiogenic', 'Antileishmanial', 'Inhibition of Acetylcholinesterase', 'Antifungal', 'Insecticidal', 'Antiallergenic', 'Anxiolytic', 'Antibacterial', 'Cytotoxic', 'Anti-inflamatory', 'Antimalarial', 'Inhibition of Protease', 'Antiviral', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1016/S0031-9422(99)00132-6', 'Cytotoxic']","['10.1016/S0031-9422(99)00132-6', ['Inhibition of Acetylcholinesterase', 'Antioxidant', 'Antitrypanosomal', 'Antileishmanial', 'Antibacterial', 'Inhibition of Glycosidase', 'Antifungal', 'Inhibition of Myeloperoxodase', 'Antimalarial', 'Anti-inflamatory', 'Insecticidal', 'Cytotoxic', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of phosphorylating electron transport', 'Inhibition of Protease', 'Antiviral', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antichagasic', 'Anticancer', 'Antiallergenic', 'Antiangiogenic', 'Anxiolytic', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
"['10.1007/s10295-012-1165-2', 'Cytotoxic']","['10.1007/s10295-012-1165-2', ['Antitrypanosomal', 'Antioxidant', 'Antifungal', 'Antileishmanial', 'Inhibition of Glycosidase', 'Antiallergenic', 'Anti-inflamatory', 'Cytotoxic', 'Inhibition of Acetylcholinesterase', 'Antiangiogenic', 'Anxiolytic', 'Antibacterial', 'Insecticidal', 'Antiviral', 'Inhibition of Protease', 'Antimalarial', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insect antennae response', 'Mutagenic', 'Genotoxic', 'Molluscicidal', 'Antinociceptive', 'Cell growth inhbition', 'Inhibition of Cathepsin V', 'Anesthetic']]",doi_bioActivity
