true,restored,edge_type
"['10.1055/s-0028-1088323', 'Sao Carlos/SP']","['10.1055/s-0028-1088323', ['Pocos De Caldas/MG', 'Campinas/SP', 'Ibirama/SC', 'Rio Claro/SP', 'Sao Paulo/SP', 'Belem/PA', 'Araraquara/SP', 'Rio Verde/GO', 'Mogi Guacu/SP', 'Manaus/AM', 'Sao Miguel Arcanjo/SP', 'Sao Carlos/SP', 'Vicosa/MG', 'Ibate/SP', 'N/A/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/ES', 'Rifaina/SP', 'Peruibe/SP', 'Sao Sebastiao Do Passe/BA', 'Apore/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cordeiropolis/SP', 'Chapada Dos Guimaraes/MT', 'Londrina/PR', 'Urucuca/BA', 'Recife/PE', 'N/A/MS', 'Ribeirao Preto/SP', 'Murici/AL', 'N/A/AM', 'Cuiaba/MT', 'Rio De Janeiro/RJ', 'Maues/AM', 'Teodoro Sampaio/SP', 'Goiania/GO', 'Corumba/MS', 'N/A/SP', 'Itacoatiara/AM', 'Piracicaba/SP', 'Iguape/SP', 'Itirapina/SP', 'Itaituba/PA', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1055/s-2002-36346', 'Recife/PE']","['10.1055/s-2002-36346', ['Campinas/SP', 'Ibirama/SC', 'Araraquara/SP', 'Pocos De Caldas/MG', 'Rio Claro/SP', 'Sao Paulo/SP', 'Belem/PA', 'Manaus/AM', 'Peruibe/SP', 'Mogi Guacu/SP', 'Vicosa/MG', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'Rio Verde/GO', 'Sao Carlos/SP', 'N/A/MG', 'Cordeiropolis/SP', 'N/A/ES', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rifaina/SP', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Murici/AL', 'N/A/MS', 'Urucuca/BA', 'Rio De Janeiro/RJ', 'Ribeirao Preto/SP', 'Londrina/PR', 'N/A/AM', 'Maues/AM', 'Cuiaba/MT', 'Goiania/GO', 'Corumba/MS', 'Teodoro Sampaio/SP', 'N/A/SP', 'Itacoatiara/AM', 'Piracicaba/SP', 'Itirapina/SP', 'Iguape/SP', 'Itaituba/PA', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1016/j.chroma.2009.02.009', 'Itacoatiara/AM']","['10.1016/j.chroma.2009.02.009', ['Araraquara/SP', 'Sao Paulo/SP', 'Campinas/SP', 'Peruibe/SP', 'Belem/PA', 'Mogi Guacu/SP', 'Ibirama/SC', 'Manaus/AM', 'Ibate/SP', 'Pocos De Caldas/MG', 'Rio Claro/SP', 'Sao Carlos/SP', 'Sao Sebastiao Do Passe/BA', 'Apore/GO', 'Sao Miguel Arcanjo/SP', 'Rio Verde/GO', 'N/A/MG', 'Vicosa/MG', 'Cordeiropolis/SP', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/ES', 'Chapada Dos Guimaraes/MT', 'Teodoro Sampaio/SP', 'Murici/AL', 'Ribeirao Preto/SP', 'Urucuca/BA', 'N/A/MS', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Maues/AM', 'Rio De Janeiro/RJ', 'Londrina/PR', 'N/A/AM', 'Goiania/GO', 'Recife/PE', 'Cuiaba/MT', 'Corumba/MS', 'N/A/SP', 'Itacoatiara/AM', 'Piracicaba/SP', 'Iguape/SP', 'Itaituba/PA', 'Itirapina/SP', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1016/j.jpba.2012.08.028', 'Sao Paulo/SP']","['10.1016/j.jpba.2012.08.028', ['Araraquara/SP', 'Sao Paulo/SP', 'Rio Claro/SP', 'Belem/PA', 'Campinas/SP', 'Ibirama/SC', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Peruibe/SP', 'Manaus/AM', 'Sao Sebastiao Do Passe/BA', 'Rifaina/SP', 'Ibate/SP', 'Rio Verde/GO', 'Vicosa/MG', 'Apore/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ribeirao Preto/SP', 'Chapada Dos Guimaraes/MT', 'N/A/MG', 'N/A/MS', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Maues/AM', 'Urucuca/BA', 'Murici/AL', 'N/A/ES', 'Londrina/PR', 'Rio De Janeiro/RJ', 'Teodoro Sampaio/SP', 'N/A/AM', 'Goiania/GO', 'Recife/PE', 'Cuiaba/MT', 'N/A/SP', 'Corumba/MS', 'Itacoatiara/AM', 'Piracicaba/SP', 'Itaituba/PA', 'Iguape/SP', 'Itirapina/SP', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.5935/0100-4042.20140049', 'Pirenopolis/GO']","['10.5935/0100-4042.20140049', ['Itaituba/PA', 'Itacoatiara/AM', 'Piracicaba/SP', 'Iguape/SP', 'Itirapina/SP', 'Santarem/PA', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Maues/AM', 'Ibate/SP', 'Sao Paulo/SP', 'Urucuca/BA', 'Araraquara/SP', 'Londrina/PR', 'Rio Claro/SP', 'Ibirama/SC', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Pocos De Caldas/MG', 'Belem/PA', 'Rio Verde/GO', 'Manaus/AM', 'Apore/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Murici/AL', 'Chapada Dos Guimaraes/MT', 'Sao Sebastiao Do Passe/BA', 'Campinas/SP', 'Peruibe/SP', 'N/A/ES', 'N/A/MS', 'Cordeiropolis/SP', 'Vicosa/MG', 'N/A/AM', 'Teodoro Sampaio/SP', 'N/A/MG', 'Sao Miguel Arcanjo/SP', 'Recife/PE', 'Goiania/GO', 'Cuiaba/MT', 'N/A/SP', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1590/S0100-40422009000600037', 'Piracicaba/SP']","['10.1590/S0100-40422009000600037', ['Piracicaba/SP', 'Itacoatiara/AM', 'Itaituba/PA', 'Santarem/PA', 'Iguape/SP', 'Itirapina/SP', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Maues/AM', 'Ibate/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Urucuca/BA', 'Rio Claro/SP', 'Londrina/PR', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Chapada Dos Guimaraes/MT', 'Ibirama/SC', 'Apore/GO', 'Rio Verde/GO', 'Belem/PA', 'Pocos De Caldas/MG', 'Manaus/AM', 'Murici/AL', 'Sao Sebastiao Do Passe/BA', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Campinas/SP', 'Peruibe/SP', 'N/A/AM', 'Vicosa/MG', 'Teodoro Sampaio/SP', 'N/A/MS', 'Cordeiropolis/SP', 'N/A/MG', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Goiania/GO', 'N/A/SP', 'Rio De Janeiro/RJ', 'Cuiaba/MT', 'Recife/PE', 'Corumba/MS', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1016/j.jfca.2003.09.013', 'N/A/SP']","['10.1016/j.jfca.2003.09.013', ['Chapada Dos Guimaraes/MT', 'Sao Carlos/SP', 'Belem/PA', 'Londrina/PR', 'N/A/MS', 'Ibirama/SC', 'Campinas/SP', 'Apore/GO', 'N/A/MG', 'Sao Paulo/SP', 'Araraquara/SP', 'Urucuca/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Manaus/AM', 'Pocos De Caldas/MG', 'Mogi Guacu/SP', 'Rifaina/SP', 'Rio Claro/SP', 'Maues/AM', 'Murici/AL', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'N/A/AM', 'Cuiaba/MT', 'Ribeirao Preto/SP', 'Sao Sebastiao Do Passe/BA', 'Vicosa/MG', 'Teodoro Sampaio/SP', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Goiania/GO', 'Corumba/MS', 'Recife/PE', 'N/A/SP', 'Itacoatiara/AM', 'Piracicaba/SP', 'Itirapina/SP', 'Itaituba/PA', 'Iguape/SP', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1590/S0100-40422008000400005', 'Manaus/AM']","['10.1590/S0100-40422008000400005', ['Iguape/SP', 'Itacoatiara/AM', 'Itaituba/PA', 'Santarem/PA', 'Piracicaba/SP', 'Itirapina/SP', 'Ribeirao Preto/SP', 'Mogi Guacu/SP', 'Sao Carlos/SP', 'Ibate/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Maues/AM', 'Rio Claro/SP', 'Urucuca/BA', 'Rio Verde/GO', 'Londrina/PR', 'Ibirama/SC', 'Pocos De Caldas/MG', 'Manaus/AM', 'Belem/PA', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Peruibe/SP', 'Murici/AL', 'Rifaina/SP', 'Teodoro Sampaio/SP', 'Campinas/SP', 'Cordeiropolis/SP', 'N/A/ES', 'Vicosa/MG', 'Chapada Dos Guimaraes/MT', 'N/A/AM', 'N/A/MS', 'Sao Miguel Arcanjo/SP', 'N/A/MG', 'Recife/PE', 'Goiania/GO', 'N/A/SP', 'Cuiaba/MT', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1590/S0100-40422004000200005', 'Cunha/SP']","['10.1590/S0100-40422004000200005', ['Piracicaba/SP', 'Itacoatiara/AM', 'Santarem/PA', 'Itaituba/PA', 'Iguape/SP', 'Itirapina/SP', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Ibate/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Maues/AM', 'Urucuca/BA', 'Rio Claro/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Ibirama/SC', 'Apore/GO', 'Manaus/AM', 'Belem/PA', 'Pocos De Caldas/MG', 'Chapada Dos Guimaraes/MT', 'Rio Verde/GO', 'Murici/AL', 'Rifaina/SP', 'Peruibe/SP', 'Campinas/SP', 'N/A/AM', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Teodoro Sampaio/SP', 'Vicosa/MG', 'N/A/MS', 'N/A/MG', 'Cordeiropolis/SP', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Rio De Janeiro/RJ', 'Goiania/GO', 'Recife/PE', 'N/A/SP', 'Cuiaba/MT', 'Corumba/MS', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1248/cpb.56.723', 'Sao Paulo/SP']","['10.1248/cpb.56.723', ['Campinas/SP', 'Peruibe/SP', 'Sao Miguel Arcanjo/SP', 'Ibirama/SC', 'Manaus/AM', 'Belem/PA', 'Araraquara/SP', 'Mogi Guacu/SP', 'Pocos De Caldas/MG', 'Ibate/SP', 'Recife/PE', 'Cordeiropolis/SP', 'N/A/ES', 'Sao Paulo/SP', 'Rio Claro/SP', 'N/A/MG', 'Vicosa/MG', 'Rio Verde/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Sebastiao Do Passe/BA', 'Apore/GO', 'Cuiaba/MT', 'Sao Carlos/SP', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Teodoro Sampaio/SP', 'Rifaina/SP', 'Ribeirao Preto/SP', 'Urucuca/BA', 'Murici/AL', 'Londrina/PR', 'N/A/AM', 'N/A/MS', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Chapada Dos Guimaraes/MT', 'Maues/AM', 'N/A/SP', 'Itacoatiara/AM', 'Iguape/SP', 'Piracicaba/SP', 'Itirapina/SP', 'Itaituba/PA', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
"['10.1590/S0103-50532006000300017', 'N/A/SP, Cedrela fissilis']","['10.1590/S0103-50532006000300017', ['Urucuca/BA', 'Maues/AM', 'Londrina/PR', 'Ibirama/SC', 'Rio Claro/SP', 'Belem/PA', 'Sao Paulo/SP', 'Sao Carlos/SP', 'Ribeirao Preto/SP', 'Mogi Guacu/SP', 'Araraquara/SP', 'Pocos De Caldas/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Manaus/AM', 'Campinas/SP', 'Ibate/SP', 'Apore/GO', 'Rifaina/SP', 'N/A/MS', 'Murici/AL', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/MG', 'N/A/ES', 'Chapada Dos Guimaraes/MT', 'Peruibe/SP', 'Rio Verde/GO', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'N/A/AM', 'Cuiaba/MT', 'Vicosa/MG', 'Sao Sebastiao Do Passe/BA', 'Teodoro Sampaio/SP', 'Rio De Janeiro/RJ', 'Recife/PE', 'Goiania/GO', 'Corumba/MS', 'N/A/SP', 'Itacoatiara/AM', 'Itaituba/PA', 'Piracicaba/SP', 'Itirapina/SP', 'Iguape/SP', 'Santarem/PA', 'Cunha/SP', 'Pirenopolis/GO', 'Lavras/MG', 'N/A/SP, Cedrela fissilis', 'Igarape-acu/PA', 'N/A/PE', 'N/A/CE']]",doi_collectionSite
