true,restored,edge_type
"['10.1248/cpb.56.723', 'Sao Paulo/SP']","['10.1248/cpb.56.723', ['Sao Paulo/SP', 'Campinas/SP', 'N/A/ES', 'Ibirama/SC', 'Belem/PA', 'Pocos De Caldas/MG', 'Araraquara/SP', 'N/A/MG', 'Sao Miguel Arcanjo/SP', 'Mogi Guacu/SP', 'Rio Verde/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Sebastiao Do Passe/BA', 'Sao Carlos/SP', 'Ribeirao Preto/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rifaina/SP', 'Teodoro Sampaio/SP', 'Urucuca/BA', 'N/A/MS', 'Londrina/PR', 'Manaus/AM', 'N/A/CE', 'Iguape/SP', 'Piracicaba/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Itaituba/PA', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1590/S0103-50532002000100019', 'Rio Claro/SP']","['10.1590/S0103-50532002000100019', ['Urucuca/BA', 'Ibirama/SC', 'Ribeirao Preto/SP', 'Mogi Guacu/SP', 'Araraquara/SP', 'Pocos De Caldas/MG', 'Belem/PA', 'Sao Paulo/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Campinas/SP', 'N/A/MG', 'Londrina/PR', 'Rifaina/SP', 'Rio Verde/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'N/A/MS', 'Sao Sebastiao Do Passe/BA', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Teodoro Sampaio/SP', 'Manaus/AM', 'N/A/CE', 'Piracicaba/SP', 'Itaituba/PA', 'Itirapina/SP', 'Itacoatiara/AM', 'Pirenopolis/GO', 'Iguape/SP', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Campinas/SP', 'Ibirama/SC', 'N/A/MG', 'Sao Carlos/SP', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Belem/PA', 'Araraquara/SP', 'N/A/ES', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rio Verde/GO', 'Rifaina/SP', 'Sao Miguel Arcanjo/SP', 'Mogi Guacu/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Urucuca/BA', 'N/A/MS', 'Sao Sebastiao Do Passe/BA', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Londrina/PR', 'N/A/CE', 'Manaus/AM', 'Piracicaba/SP', 'Itirapina/SP', 'Itaituba/PA', 'Iguape/SP', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Belem/PA', 'Araraquara/SP', 'N/A/MG', 'Ibirama/SC', 'Sao Paulo/SP', 'Campinas/SP', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Teodoro Sampaio/SP', 'N/A/ES', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP', 'Rifaina/SP', 'Urucuca/BA', 'N/A/MS', 'Rio Verde/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Sao Miguel Arcanjo/SP', 'Londrina/PR', 'N/A/CE', 'Manaus/AM', 'Piracicaba/SP', 'Itirapina/SP', 'Iguape/SP', 'Itaituba/PA', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1155/2013/835081', 'Rio Claro/SP']","['10.1155/2013/835081', ['Sao Paulo/SP', 'Campinas/SP', 'N/A/MG', 'Ibirama/SC', 'Belem/PA', 'Pocos De Caldas/MG', 'Araraquara/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/ES', 'Rio Verde/GO', 'Sao Miguel Arcanjo/SP', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/MS', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ribeirao Preto/SP', 'Urucuca/BA', 'Teodoro Sampaio/SP', 'Londrina/PR', 'N/A/CE', 'Manaus/AM', 'Piracicaba/SP', 'Iguape/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Itaituba/PA', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1590/S0103-50532007000700017', 'Mogi Guacu/SP']","['10.1590/S0103-50532007000700017', ['Sao Paulo/SP', 'Campinas/SP', 'Ibirama/SC', 'Araraquara/SP', 'N/A/MG', 'Belem/PA', 'Pocos De Caldas/MG', 'Rio Verde/GO', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Rifaina/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Ribeirao Preto/SP', 'N/A/MS', 'Urucuca/BA', 'Teodoro Sampaio/SP', 'Londrina/PR', 'N/A/CE', 'Manaus/AM', 'Piracicaba/SP', 'Itirapina/SP', 'Iguape/SP', 'Itaituba/PA', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1021/np1007476', 'Belem/PA']","['10.1021/np1007476', ['Sao Paulo/SP', 'Ibirama/SC', 'Araraquara/SP', 'Campinas/SP', 'Pocos De Caldas/MG', 'N/A/MG', 'Belem/PA', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Mogi Guacu/SP', 'Sao Carlos/SP', 'Rio Verde/GO', 'Urucuca/BA', 'Ribeirao Preto/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/MS', 'N/A/ES', 'Sao Sebastiao Do Passe/BA', 'Sao Miguel Arcanjo/SP', 'Teodoro Sampaio/SP', 'Londrina/PR', 'N/A/CE', 'Manaus/AM', 'Piracicaba/SP', 'Itaituba/PA', 'Iguape/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1021/np070312g', 'Araraquara/SP']","['10.1021/np070312g', ['Belem/PA', 'N/A/MG', 'Araraquara/SP', 'Ibirama/SC', 'Sao Paulo/SP', 'Campinas/SP', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'N/A/MS', 'Urucuca/BA', 'Teodoro Sampaio/SP', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ribeirao Preto/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/ES', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Verde/GO', 'Sao Miguel Arcanjo/SP', 'Londrina/PR', 'N/A/CE', 'Manaus/AM', 'Itirapina/SP', 'Piracicaba/SP', 'Itaituba/PA', 'Iguape/SP', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Belem/PA', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Ibirama/SC', 'N/A/MG', 'Araraquara/SP', 'Campinas/SP', 'N/A/ES', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Mogi Guacu/SP', 'Sao Carlos/SP', 'Rio Verde/GO', 'Rifaina/SP', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP', 'Sao Miguel Arcanjo/SP', 'N/A/MS', 'Urucuca/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Teodoro Sampaio/SP', 'Londrina/PR', 'Manaus/AM', 'N/A/CE', 'Itirapina/SP', 'Piracicaba/SP', 'Iguape/SP', 'Itaituba/PA', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
"['10.1016/S0014-5793(02)02700-X', 'Araraquara/SP']","['10.1016/S0014-5793(02)02700-X', ['Sao Paulo/SP', 'Pocos De Caldas/MG', 'Belem/PA', 'Araraquara/SP', 'Ibirama/SC', 'Campinas/SP', 'N/A/MG', 'Mogi Guacu/SP', 'Rio Verde/GO', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/ES', 'Ribeirao Preto/SP', 'Rifaina/SP', 'Sao Miguel Arcanjo/SP', 'Sao Sebastiao Do Passe/BA', 'Sao Carlos/SP', 'N/A/MS', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Teodoro Sampaio/SP', 'Urucuca/BA', 'Londrina/PR', 'Manaus/AM', 'N/A/CE', 'Iguape/SP', 'Piracicaba/SP', 'Itaituba/PA', 'Itirapina/SP', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Santarem/PA', 'N/A/AM', 'Goiania/GO', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'Maues/AM', 'Igarape-acu/PA', 'Chapada Dos Guimaraes/MT', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Cunha/SP', 'Lavras/MG', 'N/A/PE', 'Cuiaba/MT', 'Corumba/MS', 'Ibate/SP', 'N/A/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Rio De Janeiro/RJ', 'Rio Claro/SP']]",doi_collectionSite
