true,restored,edge_type
"['10.1055/s-0034-1368301', 'Ribeirao Preto/SP']","['10.1055/s-0034-1368301', ['Sao Carlos/SP', 'Sao Paulo/SP', 'Campinas/SP', 'N/A/ES', 'Pocos De Caldas/MG', 'Sao Miguel Arcanjo/SP', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Araraquara/SP', 'Belem/PA', 'Ibirama/SC', 'Rio Claro/SP', 'N/A/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/PE', 'N/A/MS', 'Ibate/SP', 'Teodoro Sampaio/SP', 'Rifaina/SP', 'Peruibe/SP', 'Maues/AM', 'Murici/AL', 'Chapada Dos Guimaraes/MT', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cordeiropolis/SP', 'Itacoatiara/AM', 'Urucuca/BA', 'Manaus/AM', 'Londrina/PR', 'Sao Sebastiao Do Passe/BA', 'N/A/AM', 'N/A/SP', 'Recife/PE', 'Igarape-acu/PA', 'Rio Verde/GO', 'Lavras/MG', 'Corumba/MS', 'N/A/CE', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'Santarem/PA', 'Iguape/SP', 'Piracicaba/SP', 'Cunha/SP', 'Pirenopolis/GO', 'Itirapina/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1002/hlca.200890147', 'Apore/GO']","['10.1002/hlca.200890147', ['Mogi Guacu/SP', 'Sao Carlos/SP', 'Belem/PA', 'Araraquara/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'Sao Miguel Arcanjo/SP', 'Teodoro Sampaio/SP', 'Ibirama/SC', 'Campinas/SP', 'Ibate/SP', 'Ribeirao Preto/SP', 'N/A/ES', 'N/A/MG', 'Maues/AM', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Claro/SP', 'Manaus/AM', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/MS', 'N/A/PE', 'Cordeiropolis/SP', 'Peruibe/SP', 'Urucuca/BA', 'Itacoatiara/AM', 'Murici/AL', 'Rifaina/SP', 'Recife/PE', 'Londrina/PR', 'Chapada Dos Guimaraes/MT', 'N/A/AM', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'Corumba/MS', 'N/A/SP', 'N/A/CE', 'Rio De Janeiro/RJ', 'Rio Verde/GO', 'Lavras/MG', 'Itaituba/PA', 'Santarem/PA', 'Iguape/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Piracicaba/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1590/S0102-695X2012005000106', 'Ribeirao Preto/SP']","['10.1590/S0102-695X2012005000106', ['Ribeirao Preto/SP', 'Mogi Guacu/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'Campinas/SP', 'Sao Carlos/SP', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Belem/PA', 'Ibirama/SC', 'Rio Claro/SP', 'Itacoatiara/AM', 'Araraquara/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Ibate/SP', 'Maues/AM', 'Londrina/PR', 'Manaus/AM', 'Teodoro Sampaio/SP', 'N/A/MG', 'Urucuca/BA', 'Rifaina/SP', 'N/A/MS', 'Sao Sebastiao Do Passe/BA', 'Peruibe/SP', 'N/A/PE', 'Cordeiropolis/SP', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'Murici/AL', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/SP', 'Rio Verde/GO', 'Igarape-acu/PA', 'N/A/AM', 'Itaituba/PA', 'N/A/CE', 'Lavras/MG', 'Santarem/PA', 'Corumba/MS', 'Iguape/SP', 'Cunha/SP', 'Pirenopolis/GO', 'Rio De Janeiro/RJ', 'Piracicaba/SP', 'Itirapina/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1016/S0031-9422(00)00248-X', 'N/A/ES']","['10.1016/S0031-9422(00)00248-X', ['Mogi Guacu/SP', 'Ibirama/SC', 'Belem/PA', 'Araraquara/SP', 'Sao Paulo/SP', 'Teodoro Sampaio/SP', 'Sao Carlos/SP', 'N/A/ES', 'Ibate/SP', 'Pocos De Caldas/MG', 'Campinas/SP', 'N/A/MG', 'Sao Miguel Arcanjo/SP', 'Ribeirao Preto/SP', 'N/A/PE', 'Manaus/AM', 'Peruibe/SP', 'Cordeiropolis/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rio Claro/SP', 'N/A/MS', 'Itacoatiara/AM', 'Maues/AM', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Murici/AL', 'Recife/PE', 'Urucuca/BA', 'Sao Sebastiao Do Passe/BA', 'Chapada Dos Guimaraes/MT', 'Igarape-acu/PA', 'Londrina/PR', 'N/A/AM', 'Corumba/MS', 'N/A/SP', 'N/A/CE', 'Rio De Janeiro/RJ', 'Rio Verde/GO', 'Lavras/MG', 'Itaituba/PA', 'Santarem/PA', 'Iguape/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Piracicaba/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1515/znc-2002-5-602', 'Londrina/PR']","['10.1515/znc-2002-5-602', ['Mogi Guacu/SP', 'Sao Paulo/SP', 'N/A/MG', 'Sao Carlos/SP', 'Belem/PA', 'Pocos De Caldas/MG', 'Ibirama/SC', 'N/A/ES', 'Campinas/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'N/A/PE', 'Murici/AL', 'Peruibe/SP', 'Ribeirao Preto/SP', 'Ibate/SP', 'Cordeiropolis/SP', 'Itacoatiara/AM', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Maues/AM', 'Urucuca/BA', 'Rifaina/SP', 'Manaus/AM', 'N/A/MS', 'Igarape-acu/PA', 'N/A/AM', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Recife/PE', 'N/A/CE', 'Chapada Dos Guimaraes/MT', 'Rio De Janeiro/RJ', 'N/A/SP', 'Rio Verde/GO', 'Corumba/MS', 'Itaituba/PA', 'Santarem/PA', 'Lavras/MG', 'Iguape/SP', 'Pirenopolis/GO', 'Itirapina/SP', 'Cunha/SP', 'Piracicaba/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1590/S0103-50532006000300017', 'N/A/SP, Cedrela fissilis']","['10.1590/S0103-50532006000300017', ['Londrina/PR', 'Urucuca/BA', 'Maues/AM', 'Ibirama/SC', 'Ribeirao Preto/SP', 'Sao Carlos/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'Mogi Guacu/SP', 'Belem/PA', 'Araraquara/SP', 'Campinas/SP', 'Ibate/SP', 'Rio Claro/SP', 'N/A/ES', 'Rio Verde/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Manaus/AM', 'Sao Miguel Arcanjo/SP', 'Itacoatiara/AM', 'N/A/MS', 'N/A/MG', 'Teodoro Sampaio/SP', 'Itaituba/PA', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Cordeiropolis/SP', 'Murici/AL', 'N/A/SP', 'Peruibe/SP', 'N/A/PE', 'N/A/AM', 'Chapada Dos Guimaraes/MT', 'Sao Sebastiao Do Passe/BA', 'Recife/PE', 'Corumba/MS', 'Igarape-acu/PA', 'Lavras/MG', 'Iguape/SP', 'N/A/CE', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Santarem/PA', 'Cunha/SP', 'Itirapina/SP', 'Piracicaba/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['N/A/MG', 'Sao Carlos/SP', 'Ibirama/SC', 'Araraquara/SP', 'Ibate/SP', 'Mogi Guacu/SP', 'Belem/PA', 'Sao Paulo/SP', 'Igarape-acu/PA', 'Campinas/SP', 'N/A/AM', 'Teodoro Sampaio/SP', 'N/A/ES', 'Pocos De Caldas/MG', 'Peruibe/SP', 'Sao Miguel Arcanjo/SP', 'Corumba/MS', 'Maues/AM', 'Manaus/AM', 'Ribeirao Preto/SP', 'N/A/MS', 'Cordeiropolis/SP', 'Rio De Janeiro/RJ', 'Murici/AL', 'Itacoatiara/AM', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Urucuca/BA', 'Recife/PE', 'Rio Claro/SP', 'Sao Sebastiao Do Passe/BA', 'N/A/PE', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Londrina/PR', 'Rifaina/SP', 'Chapada Dos Guimaraes/MT', 'Rio Verde/GO', 'Lavras/MG', 'N/A/CE', 'N/A/SP', 'Iguape/SP', 'Itaituba/PA', 'Santarem/PA', 'Itirapina/SP', 'Cunha/SP', 'Pirenopolis/GO', 'Piracicaba/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.3390/molecules190812031', 'Manaus/AM']","['10.3390/molecules190812031', ['Araraquara/SP', 'Mogi Guacu/SP', 'Sao Carlos/SP', 'Belem/PA', 'Ibirama/SC', 'Sao Paulo/SP', 'N/A/PE', 'Campinas/SP', 'Ibate/SP', 'N/A/ES', 'Pocos De Caldas/MG', 'N/A/MG', 'Teodoro Sampaio/SP', 'Peruibe/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Cordeiropolis/SP', 'Ribeirao Preto/SP', 'N/A/MS', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Itacoatiara/AM', 'Manaus/AM', 'Maues/AM', 'Murici/AL', 'Urucuca/BA', 'Rifaina/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Chapada Dos Guimaraes/MT', 'Sao Sebastiao Do Passe/BA', 'Recife/PE', 'Igarape-acu/PA', 'Londrina/PR', 'N/A/AM', 'Rio De Janeiro/RJ', 'Corumba/MS', 'N/A/CE', 'Rio Verde/GO', 'Lavras/MG', 'N/A/SP', 'Santarem/PA', 'Itaituba/PA', 'Iguape/SP', 'Itirapina/SP', 'Pirenopolis/GO', 'Piracicaba/SP', 'Cunha/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['N/A/ES', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'Sao Miguel Arcanjo/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Campinas/SP', 'Mogi Guacu/SP', 'Belem/PA', 'Ibirama/SC', 'Sao Sebastiao Do Passe/BA', 'Araraquara/SP', 'Rifaina/SP', 'Ribeirao Preto/SP', 'Ibate/SP', 'Itacoatiara/AM', 'N/A/PE', 'N/A/MG', 'N/A/MS', 'Chapada Dos Guimaraes/MT', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Cordeiropolis/SP', 'Teodoro Sampaio/SP', 'Manaus/AM', 'Peruibe/SP', 'Rio Verde/GO', 'Londrina/PR', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Maues/AM', 'Murici/AL', 'Recife/PE', 'N/A/CE', 'N/A/SP', 'Lavras/MG', 'Urucuca/BA', 'Igarape-acu/PA', 'N/A/AM', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itaituba/PA', 'Iguape/SP', 'Santarem/PA', 'Cunha/SP', 'Piracicaba/SP', 'Pirenopolis/GO', 'Itirapina/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
"['10.1021/np800106x', 'Recife/PE']","['10.1021/np800106x', ['Sao Paulo/SP', 'Araraquara/SP', 'Belem/PA', 'Mogi Guacu/SP', 'Sao Carlos/SP', 'Campinas/SP', 'Ibirama/SC', 'N/A/ES', 'N/A/PE', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'N/A/MG', 'Teodoro Sampaio/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'N/A/MS', 'Rio Claro/SP', 'Ribeirao Preto/SP', 'Maues/AM', 'Murici/AL', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Manaus/AM', 'Itacoatiara/AM', 'Chapada Dos Guimaraes/MT', 'Rifaina/SP', 'Lavras/MG', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Recife/PE', 'Sao Sebastiao Do Passe/BA', 'Urucuca/BA', 'Igarape-acu/PA', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Londrina/PR', 'N/A/AM', 'Rio Verde/GO', 'N/A/CE', 'N/A/SP', 'Santarem/PA', 'Itaituba/PA', 'Iguape/SP', 'Pirenopolis/GO', 'Itirapina/SP', 'Cunha/SP', 'Piracicaba/SP', 'Vicosa/MG', 'Cuiaba/MT', 'Apore/GO', 'N/A/SP, Cedrela fissilis', 'Goiania/GO']]",doi_collectionSite
