true,restored,edge_type
"['10.1016/j.phytochem.2006.06.004', 'Cytotoxic']","['10.1016/j.phytochem.2006.06.004', ['Antitrypanosomal', 'Insecticidal', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Acetylcholinesterase', 'Antileishmanial', 'Antioxidant', 'Antimalarial', 'Antifungal', 'Antiallergenic', 'Cytotoxic', 'Anticancer', 'Mutagenic', 'Genotoxic', 'Inhibition of Cathepsin V', 'Antibacterial', 'Inhibition of Cathepsin B', 'Antichagasic', 'Inhibition of Cathepsin L', 'Inhibition of Glycosidase', 'Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1021/np070312g', 'Antioxidant']","['10.1021/np070312g', ['Cytotoxic', 'Anticancer', 'Antioxidant', 'Antifungal', 'Antiallergenic', 'Antitrypanosomal', 'Antimalarial', 'Inhibition of Acetylcholinesterase', 'Insecticidal', 'Inhibition of Cathepsin V', 'Inhibition of Cathepsin L', 'Antichagasic', 'Inhibition of Cathepsin B', 'Antileishmanial', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Glycosidase', 'Mutagenic', 'Genotoxic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']","['10.1016/S0031-9422(97)00238-0', ['Cytotoxic', 'Anticancer', 'Antiallergenic', 'Antioxidant', 'Antifungal', 'Antimalarial', 'Antitrypanosomal', 'Inhibition of Acetylcholinesterase', 'Insecticidal', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antichagasic', 'Inhibition of Cathepsin V', 'Antileishmanial', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Glycosidase', 'Mutagenic', 'Genotoxic', 'Antibacterial', 'Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1515/znc-2002-5-602', 'Cytotoxic']","['10.1515/znc-2002-5-602', ['Antitrypanosomal', 'Insecticidal', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Acetylcholinesterase', 'Antimalarial', 'Antioxidant', 'Antileishmanial', 'Antiallergenic', 'Antifungal', 'Anticancer', 'Cytotoxic', 'Mutagenic', 'Genotoxic', 'Inhibition of Cathepsin V', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antibacterial', 'Inhibition of Glycosidase', 'Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['10.1016/0031-9422(73)85048-4', ['Antitrypanosomal', 'Antileishmanial', 'Antimalarial', 'Anti-inflamatory', 'Antinociceptive', 'Insecticidal', 'Inhibition of Acetylcholinesterase', 'Antiallergenic', 'Antibacterial', 'Antioxidant', 'Antifungal', 'Anticancer', 'Cytotoxic', 'Mutagenic', 'Genotoxic', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin V', 'Inhibition of Glycosidase', 'Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1016/j.chroma.2009.02.009', 'Antitrypanosomal']","['10.1016/j.chroma.2009.02.009', ['Cytotoxic', 'Anticancer', 'Antioxidant', 'Antifungal', 'Antiallergenic', 'Antitrypanosomal', 'Inhibition of Acetylcholinesterase', 'Insecticidal', 'Antimalarial', 'Inhibition of Cathepsin V', 'Inhibition of Cathepsin L', 'Antichagasic', 'Inhibition of Cathepsin B', 'Antileishmanial', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Glycosidase', 'Mutagenic', 'Genotoxic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1248/cpb.56.723', 'Antioxidant']","['10.1248/cpb.56.723', ['Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Antioxidant', 'Antifungal', 'Cytotoxic', 'Anticancer', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antiallergenic', 'Inhibition of Cathepsin V', 'Antimalarial', 'Antitrypanosomal', 'Inhibition of Acetylcholinesterase', 'Insecticidal', 'Anti-inflamatory', 'Antinociceptive', 'Antileishmanial', 'Mutagenic', 'Genotoxic', 'Antibacterial', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1002/ptr.1249', 'Antioxidant']","['10.1002/ptr.1249', ['Cytotoxic', 'Antifungal', 'Anticancer', 'Antioxidant', 'Insecticidal', 'Antiallergenic', 'Inhibition of Acetylcholinesterase', 'Antitrypanosomal', 'Antimalarial', 'Antileishmanial', 'Inhibition of Cathepsin V', 'Antichagasic', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Glycosidase', 'Mutagenic', 'Genotoxic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1021/np1007476', 'Antioxidant']","['10.1021/np1007476', ['Cytotoxic', 'Anticancer', 'Antiallergenic', 'Antioxidant', 'Antifungal', 'Antimalarial', 'Inhibition of Acetylcholinesterase', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin V', 'Antitrypanosomal', 'Insecticidal', 'Antileishmanial', 'Inhibition of Glycosidase', 'Anti-inflamatory', 'Antinociceptive', 'Mutagenic', 'Genotoxic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1021/np060254j', 'Anxiolytic']","['10.1021/np060254j', ['Inhibition of Cathepsin V', 'Cytotoxic', 'Anticancer', 'Inhibition of Acetylcholinesterase', 'Antiallergenic', 'Antioxidant', 'Antifungal', 'Antimalarial', 'Antitrypanosomal', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Antichagasic', 'Insecticidal', 'Antileishmanial', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Glycosidase', 'Mutagenic', 'Genotoxic', 'Antiangiogenic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1016/j.phytochem.2005.06.019', 'Antioxidant']","['10.1016/j.phytochem.2005.06.019', ['Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Antifungal', 'Antioxidant', 'Cytotoxic', 'Antiangiogenic', 'Anticancer', 'Antichagasic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin V', 'Antiallergenic', 'Antitrypanosomal', 'Inhibition of Acetylcholinesterase', 'Antimalarial', 'Insecticidal', 'Anti-inflamatory', 'Antinociceptive', 'Antileishmanial', 'Mutagenic', 'Genotoxic', 'Antibacterial', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1590/S0100-40422010001000006', 'Cytotoxic']","['10.1590/S0100-40422010001000006', ['Cytotoxic', 'Antifungal', 'Anticancer', 'Antioxidant', 'Antiallergenic', 'Insecticidal', 'Inhibition of Acetylcholinesterase', 'Antitrypanosomal', 'Antimalarial', 'Inhibition of Cathepsin V', 'Inhibition of Cathepsin L', 'Antichagasic', 'Inhibition of Cathepsin B', 'Antileishmanial', 'Inhibition of Glycosidase', 'Anti-inflamatory', 'Antinociceptive', 'Antiangiogenic', 'Mutagenic', 'Genotoxic', 'Antibacterial', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
"['10.1021/np0303963', 'Cytotoxic']","['10.1021/np0303963', ['Antitrypanosomal', 'Antimalarial', 'Insecticidal', 'Antileishmanial', 'Anti-inflamatory', 'Antinociceptive', 'Antifungal', 'Antioxidant', 'Inhibition of Acetylcholinesterase', 'Antiallergenic', 'Cytotoxic', 'Anticancer', 'Antichagasic', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin B', 'Mutagenic', 'Genotoxic', 'Inhibition of Cathepsin V', 'Antibacterial', 'Inhibition of Glycosidase', 'Antiangiogenic', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Insect antennae response', 'Cell growth inhbition', 'Anxiolytic', 'Molluscicidal', 'Inhibition of Protease', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis']]",doi_bioActivity
