true,restored,edge_type
"['10.1248/cpb.56.723', 'Sao Paulo/SP']","['10.1248/cpb.56.723', ['Belem/PA', 'Ibirama/SC', 'Araraquara/SP', 'Mogi Guacu/SP', 'Sao Paulo/SP', 'Londrina/PR', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Manaus/AM', 'Piracicaba/SP', 'Ribeirao Preto/SP', 'Santarem/PA', 'N/A/MG', 'Campinas/SP', 'N/A/MS', 'Rifaina/SP', 'Pocos De Caldas/MG', 'Teodoro Sampaio/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Urucuca/BA', 'N/A/ES', 'Itaituba/PA', 'Sao Carlos/SP', 'Sao Sebastiao Do Passe/BA', 'Sao Miguel Arcanjo/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Rio Verde/GO', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532002000100019', 'Rio Claro/SP']","['10.1590/S0103-50532002000100019', ['Mogi Guacu/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Pocos De Caldas/MG', 'Urucuca/BA', 'Santarem/PA', 'N/A/MG', 'Sao Carlos/SP', 'Ribeirao Preto/SP', 'Teodoro Sampaio/SP', 'Campinas/SP', 'N/A/MS', 'Manaus/AM', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rifaina/SP', 'Londrina/PR', 'Belem/PA', 'N/A/ES', 'Itaituba/PA', 'Rio Verde/GO', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Sao Sebastiao Do Passe/BA', 'Ibirama/SC', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Rio Verde/GO', 'Campinas/SP', 'Sao Miguel Arcanjo/SP', 'Sao Carlos/SP', 'Araraquara/SP', 'Urucuca/BA', 'Ribeirao Preto/SP', 'Sao Paulo/SP', 'N/A/CE', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/MG', 'Mogi Guacu/SP', 'N/A/MS', 'Pocos De Caldas/MG', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Manaus/AM', 'Rifaina/SP', 'Londrina/PR', 'Piracicaba/SP', 'Belem/PA', 'N/A/ES', 'Itaituba/PA', 'Itacoatiara/AM', 'Pirenopolis/GO', 'Sao Sebastiao Do Passe/BA', 'Ibirama/SC', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Sao Carlos/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Pocos De Caldas/MG', 'Sao Miguel Arcanjo/SP', 'Mogi Guacu/SP', 'Campinas/SP', 'Santarem/PA', 'Teodoro Sampaio/SP', 'N/A/MG', 'Rio Verde/GO', 'Urucuca/BA', 'Araraquara/SP', 'Manaus/AM', 'N/A/MS', 'N/A/ES', 'Piracicaba/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Londrina/PR', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Belem/PA', 'Itaituba/PA', 'Rifaina/SP', 'Sao Sebastiao Do Passe/BA', 'Itacoatiara/AM', 'Pirenopolis/GO', 'Ibirama/SC', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1155/2013/835081', 'Rio Claro/SP']","['10.1155/2013/835081', ['Mogi Guacu/SP', 'Araraquara/SP', 'Sao Paulo/SP', 'N/A/MS', 'Santarem/PA', 'N/A/MG', 'Pocos De Caldas/MG', 'Manaus/AM', 'Teodoro Sampaio/SP', 'Sao Carlos/SP', 'Ribeirao Preto/SP', 'Urucuca/BA', 'Londrina/PR', 'Sao Miguel Arcanjo/SP', 'Belem/PA', 'Campinas/SP', 'Piracicaba/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'N/A/ES', 'Rifaina/SP', 'Ibirama/SC', 'Itacoatiara/AM', 'Pirenopolis/GO', 'Rio Verde/GO', 'Itaituba/PA', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532007000700017', 'Mogi Guacu/SP']","['10.1590/S0103-50532007000700017', ['Ribeirao Preto/SP', 'Rio Verde/GO', 'Sao Carlos/SP', 'Sao Miguel Arcanjo/SP', 'Campinas/SP', 'Sao Paulo/SP', 'N/A/MG', 'Araraquara/SP', 'Pocos De Caldas/MG', 'Santarem/PA', 'Mogi Guacu/SP', 'Teodoro Sampaio/SP', 'Urucuca/BA', 'N/A/MS', 'Manaus/AM', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Piracicaba/SP', 'N/A/ES', 'Londrina/PR', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Belem/PA', 'Rifaina/SP', 'Sao Sebastiao Do Passe/BA', 'Itaituba/PA', 'Pirenopolis/GO', 'Itacoatiara/AM', 'N/A/CE', 'Ibirama/SC', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1021/np1007476', 'Belem/PA']","['10.1021/np1007476', ['Sao Paulo/SP', 'Mogi Guacu/SP', 'Araraquara/SP', 'Urucuca/BA', 'N/A/MG', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Campinas/SP', 'Santarem/PA', 'N/A/MS', 'Manaus/AM', 'Rifaina/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Londrina/PR', 'Belem/PA', 'Sao Miguel Arcanjo/SP', 'N/A/ES', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Itaituba/PA', 'Rio Verde/GO', 'Ibirama/SC', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1021/np070312g', 'Araraquara/SP']","['10.1021/np070312g', ['Sao Paulo/SP', 'Mogi Guacu/SP', 'Araraquara/SP', 'Santarem/PA', 'Pocos De Caldas/MG', 'N/A/MG', 'Manaus/AM', 'N/A/MS', 'Ribeirao Preto/SP', 'Urucuca/BA', 'Teodoro Sampaio/SP', 'Sao Carlos/SP', 'Campinas/SP', 'Belem/PA', 'Londrina/PR', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Sao Miguel Arcanjo/SP', 'Piracicaba/SP', 'N/A/ES', 'Itaituba/PA', 'Itacoatiara/AM', 'Pirenopolis/GO', 'Ibirama/SC', 'Rio Verde/GO', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Campinas/SP', 'Sao Carlos/SP', 'Rio Verde/GO', 'Ribeirao Preto/SP', 'Sao Miguel Arcanjo/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'N/A/MG', 'Urucuca/BA', 'Santarem/PA', 'Mogi Guacu/SP', 'Pocos De Caldas/MG', 'N/A/MS', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Manaus/AM', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Londrina/PR', 'Piracicaba/SP', 'Rifaina/SP', 'N/A/ES', 'Belem/PA', 'N/A/CE', 'Itaituba/PA', 'Sao Sebastiao Do Passe/BA', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Ibirama/SC', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1016/S0014-5793(02)02700-X', 'Araraquara/SP']","['10.1016/S0014-5793(02)02700-X', ['Santarem/PA', 'Mogi Guacu/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'N/A/MG', 'N/A/MS', 'Manaus/AM', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Londrina/PR', 'Urucuca/BA', 'Campinas/SP', 'Belem/PA', 'Sao Miguel Arcanjo/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Piracicaba/SP', 'N/A/ES', 'Rifaina/SP', 'Ibirama/SC', 'Pirenopolis/GO', 'Itacoatiara/AM', 'Rio Verde/GO', 'Itaituba/PA', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'N/A/CE', 'Iguape/SP', 'Itirapina/SP', 'Lavras/MG', 'Cordeiropolis/SP', 'Corumba/MS', 'Apore/GO', 'Rio Claro/SP', 'Cunha/SP', 'Murici/AL', 'Igarape-acu/PA', 'N/A/PE', 'N/A/AM', 'Ibate/SP', 'Cuiaba/MT', 'Goiania/GO', 'Chapada Dos Guimaraes/MT', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Rio De Janeiro/RJ', 'Peruibe/SP', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
