true,restored,edge_type
"['10.1590/S0103-50532009000400008', 'Campinas/SP']","['10.1590/S0103-50532009000400008', ['Cordeiropolis/SP', 'Ibirama/SC', 'N/A/PE', 'Ribeirao Preto/SP', 'Araraquara/SP', 'Mogi Guacu/SP', 'Peruibe/SP', 'Rio Claro/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'Sao Miguel Arcanjo/SP', 'Piracicaba/SP', 'Campinas/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cunha/SP', 'Sao Carlos/SP', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1055/s-0028-1088323', 'Sao Carlos/SP']","['10.1055/s-0028-1088323', ['Cordeiropolis/SP', 'Ribeirao Preto/SP', 'Ibirama/SC', 'N/A/PE', 'Araraquara/SP', 'Campinas/SP', 'Mogi Guacu/SP', 'Piracicaba/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'Sao Miguel Arcanjo/SP', 'Peruibe/SP', 'Rio Claro/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Paulo/SP', 'Cunha/SP', 'Sao Carlos/SP', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1021/jf00030a035', 'N/A/CE']","['10.1021/jf00030a035', ['N/A/PE', 'Ibirama/SC', 'Araraquara/SP', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Ibate/SP', 'Piracicaba/SP', 'Pocos De Caldas/MG', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Paulo/SP', 'Campinas/SP', 'Ribeirao Preto/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Peruibe/SP', 'Sao Carlos/SP', 'Cunha/SP', 'Pirenopolis/GO', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532006000300017', 'Sao Carlos/SP']","['10.1590/S0103-50532006000300017', ['N/A/PE', 'Cordeiropolis/SP', 'Ibirama/SC', 'Araraquara/SP', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'Campinas/SP', 'Rio Claro/SP', 'Sao Paulo/SP', 'Sao Miguel Arcanjo/SP', 'Peruibe/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'Cunha/SP', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1002/ps.1278', 'Pocos De Caldas/MG']","['10.1002/ps.1278', ['Ibirama/SC', 'Piracicaba/SP', 'Rio Claro/SP', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'Araraquara/SP', 'Sao Carlos/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Mogi Guacu/SP', 'Peruibe/SP', 'N/A/PE', 'Cordeiropolis/SP', 'Campinas/SP', 'Ribeirao Preto/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532007000700017', 'Mogi Guacu/SP']","['10.1590/S0103-50532007000700017', ['Cordeiropolis/SP', 'Ribeirao Preto/SP', 'Ibirama/SC', 'Peruibe/SP', 'Mogi Guacu/SP', 'Araraquara/SP', 'N/A/PE', 'Rio Claro/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Pocos De Caldas/MG', 'Campinas/SP', 'Ibate/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Cunha/SP', 'Sao Carlos/SP', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532002000100019', 'Rio Claro/SP']","['10.1590/S0103-50532002000100019', ['Ibirama/SC', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Ibate/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Araraquara/SP', 'Piracicaba/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Peruibe/SP', 'N/A/PE', 'Ribeirao Preto/SP', 'Cordeiropolis/SP', 'Campinas/SP', 'Pirenopolis/GO', 'Cunha/SP', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1002/cbdv.200590016', 'Sao Carlos/SP']","['10.1002/cbdv.200590016', ['Ibirama/SC', 'Rio Claro/SP', 'Sao Miguel Arcanjo/SP', 'Piracicaba/SP', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Araraquara/SP', 'Ibate/SP', 'Mogi Guacu/SP', 'Peruibe/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'N/A/PE', 'Cordeiropolis/SP', 'Campinas/SP', 'Ribeirao Preto/SP', 'Cunha/SP', 'Pirenopolis/GO', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['Peruibe/SP', 'Ibirama/SC', 'Ribeirao Preto/SP', 'Araraquara/SP', 'Cunha/SP', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Campinas/SP', 'N/A/PE', 'Sao Miguel Arcanjo/SP', 'Ibate/SP', 'Rio Claro/SP', 'Pocos De Caldas/MG', 'Piracicaba/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
"['10.1590/S0103-50532006000300017', 'N/A/SP, Cedrela fissilis']","['10.1590/S0103-50532006000300017', ['N/A/PE', 'Cordeiropolis/SP', 'Ibirama/SC', 'Araraquara/SP', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Ibate/SP', 'Pocos De Caldas/MG', 'Campinas/SP', 'Rio Claro/SP', 'Sao Paulo/SP', 'Sao Miguel Arcanjo/SP', 'Peruibe/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'Cunha/SP', 'Rio De Janeiro/RJ', 'Pirenopolis/GO', 'Itaituba/PA', 'N/A/AM', 'Igarape-acu/PA', 'Murici/AL', 'Iguape/SP', 'N/A/MS', 'Itirapina/SP', 'Itacoatiara/AM', 'Cuiaba/MT', 'Rifaina/SP', 'Lavras/MG', 'Goiania/GO', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Corumba/MS', 'Belem/PA', 'Santarem/PA', 'Apore/GO', 'Sao Sebastiao Do Passe/BA', 'Londrina/PR', 'Rio Verde/GO', 'Teodoro Sampaio/SP', 'N/A/MG', 'Manaus/AM', 'Chapada Dos Guimaraes/MT', 'Urucuca/BA', 'N/A/ES', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'N/A/CE', 'Vicosa/MG', 'Maues/AM', 'N/A/SP']]",doi_collectionSite
