true,restored,edge_type
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Murici/AL', 'Cuiaba/MT', 'N/A/SP', 'N/A/SP, Cedrela fissilis', 'Sao Carlos/SP', 'N/A/PE', 'Londrina/PR', 'Sao Miguel Arcanjo/SP', 'N/A/ES', 'Mogi Guacu/SP', 'Itacoatiara/AM', 'Manaus/AM', 'Araraquara/SP', 'Ribeirao Preto/SP', 'Chapada Dos Guimaraes/MT', 'Apore/GO', 'Sao Paulo/SP', 'Santarem/PA', 'N/A/MS', 'Vicosa/MG', 'N/A/MG', 'Urucuca/BA', 'Recife/PE', 'Pocos De Caldas/MG', 'Campinas/SP', 'Ibate/SP', 'Teodoro Sampaio/SP', 'Belem/PA', 'Ibirama/SC', 'Peruibe/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Piracicaba/SP', 'Rifaina/SP', 'N/A/AM', 'Pirenopolis/GO', 'Itaituba/PA', 'Sao Sebastiao Do Passe/BA', 'Iguape/SP', 'Goiania/GO', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1016/j.phytochem.2006.06.004', 'Araraquara/SP']","['10.1016/j.phytochem.2006.06.004', ['N/A/SP', 'Cuiaba/MT', 'Sao Carlos/SP', 'N/A/SP, Cedrela fissilis', 'N/A/PE', 'Londrina/PR', 'Murici/AL', 'N/A/ES', 'Manaus/AM', 'Sao Miguel Arcanjo/SP', 'Itacoatiara/AM', 'Mogi Guacu/SP', 'Chapada Dos Guimaraes/MT', 'Araraquara/SP', 'Ribeirao Preto/SP', 'N/A/MS', 'Urucuca/BA', 'Apore/GO', 'Sao Paulo/SP', 'N/A/MG', 'Santarem/PA', 'Belem/PA', 'Pocos De Caldas/MG', 'Recife/PE', 'Campinas/SP', 'Ibate/SP', 'Vicosa/MG', 'Teodoro Sampaio/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ibirama/SC', 'Rifaina/SP', 'Peruibe/SP', 'Piracicaba/SP', 'Itaituba/PA', 'Pirenopolis/GO', 'Sao Sebastiao Do Passe/BA', 'N/A/AM', 'Goiania/GO', 'Iguape/SP', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1590/S0102-695X2008000200010', 'Lavras/MG']","['10.1590/S0102-695X2008000200010', ['Cuiaba/MT', 'N/A/SP', 'Murici/AL', 'N/A/SP, Cedrela fissilis', 'N/A/PE', 'Sao Carlos/SP', 'Londrina/PR', 'Chapada Dos Guimaraes/MT', 'Itacoatiara/AM', 'N/A/ES', 'Sao Miguel Arcanjo/SP', 'Manaus/AM', 'Mogi Guacu/SP', 'Araraquara/SP', 'Ribeirao Preto/SP', 'Urucuca/BA', 'N/A/MS', 'Santarem/PA', 'Sao Paulo/SP', 'Apore/GO', 'Recife/PE', 'Vicosa/MG', 'N/A/MG', 'Pocos De Caldas/MG', 'Belem/PA', 'Campinas/SP', 'Ibate/SP', 'Teodoro Sampaio/SP', 'Peruibe/SP', 'Ibirama/SC', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Piracicaba/SP', 'N/A/AM', 'Itaituba/PA', 'Pirenopolis/GO', 'Sao Sebastiao Do Passe/BA', 'Iguape/SP', 'Goiania/GO', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.4067/S0717-97072009000300004', 'Sao Paulo/SP']","['10.4067/S0717-97072009000300004', ['Ibate/SP', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Araraquara/SP', 'Itaituba/PA', 'Piracicaba/SP', 'Belem/PA', 'Mogi Guacu/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Santarem/PA', 'Rifaina/SP', 'Teodoro Sampaio/SP', 'Manaus/AM', 'Apore/GO', 'Urucuca/BA', 'Ibirama/SC', 'Londrina/PR', 'N/A/MS', 'Itacoatiara/AM', 'Peruibe/SP', 'N/A/MG', 'Sao Sebastiao Do Passe/BA', 'Sao Miguel Arcanjo/SP', 'N/A/ES', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Sao Carlos/SP', 'Pirenopolis/GO', 'Vicosa/MG', 'Recife/PE', 'N/A/SP', 'N/A/PE', 'Cuiaba/MT', 'Goiania/GO', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Chapada Dos Guimaraes/MT', 'Iguape/SP', 'Rio De Janeiro/RJ', 'N/A/AM', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1016/S0031-9422(00)00226-0', 'Teodoro Sampaio/SP']","['10.1016/S0031-9422(00)00226-0', ['Santarem/PA', 'Mogi Guacu/SP', 'Araraquara/SP', 'N/A/MG', 'Pocos De Caldas/MG', 'Manaus/AM', 'Ibate/SP', 'Urucuca/BA', 'Sao Carlos/SP', 'Ribeirao Preto/SP', 'Sao Miguel Arcanjo/SP', 'Sao Paulo/SP', 'Londrina/PR', 'Teodoro Sampaio/SP', 'N/A/MS', 'Belem/PA', 'N/A/ES', 'Apore/GO', 'Piracicaba/SP', 'N/A/SP', 'Campinas/SP', 'Itacoatiara/AM', 'Vicosa/MG', 'Ibirama/SC', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Peruibe/SP', 'Cuiaba/MT', 'N/A/PE', 'Itaituba/PA', 'Recife/PE', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Sao Sebastiao Do Passe/BA', 'Chapada Dos Guimaraes/MT', 'Pirenopolis/GO', 'Goiania/GO', 'Iguape/SP', 'N/A/AM', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1590/S0102-695X2009000100002', 'Campinas/SP']","['10.1590/S0102-695X2009000100002', ['N/A/SP', 'Cuiaba/MT', 'N/A/PE', 'Sao Carlos/SP', 'N/A/SP, Cedrela fissilis', 'Murici/AL', 'Londrina/PR', 'N/A/ES', 'Manaus/AM', 'Sao Miguel Arcanjo/SP', 'Itacoatiara/AM', 'Mogi Guacu/SP', 'Araraquara/SP', 'Ribeirao Preto/SP', 'Apore/GO', 'Urucuca/BA', 'Sao Paulo/SP', 'N/A/MS', 'Chapada Dos Guimaraes/MT', 'N/A/MG', 'Santarem/PA', 'Recife/PE', 'Belem/PA', 'Pocos De Caldas/MG', 'Campinas/SP', 'Ibate/SP', 'Teodoro Sampaio/SP', 'Vicosa/MG', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Peruibe/SP', 'Ibirama/SC', 'Piracicaba/SP', 'Itaituba/PA', 'Sao Sebastiao Do Passe/BA', 'Pirenopolis/GO', 'N/A/AM', 'Iguape/SP', 'Goiania/GO', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1590/S0103-50532005000800029', 'Maues/AM']","['10.1590/S0103-50532005000800029', ['N/A/MG', 'Araraquara/SP', 'Sao Paulo/SP', 'Pocos De Caldas/MG', 'Urucuca/BA', 'Mogi Guacu/SP', 'Belem/PA', 'Ibate/SP', 'N/A/MS', 'Santarem/PA', 'Londrina/PR', 'Manaus/AM', 'Piracicaba/SP', 'Apore/GO', 'Campinas/SP', 'Sao Carlos/SP', 'N/A/ES', 'Teodoro Sampaio/SP', 'Sao Miguel Arcanjo/SP', 'Ribeirao Preto/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Itacoatiara/AM', 'Ibirama/SC', 'N/A/SP', 'N/A/PE', 'Recife/PE', 'Vicosa/MG', 'Cuiaba/MT', 'Peruibe/SP', 'Itaituba/PA', 'Pirenopolis/GO', 'N/A/SP, Cedrela fissilis', 'Sao Sebastiao Do Passe/BA', 'Chapada Dos Guimaraes/MT', 'Murici/AL', 'Goiania/GO', 'N/A/AM', 'Iguape/SP', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1080/14786410903335232', 'Mogi Guacu/SP']","['10.1080/14786410903335232', ['Araraquara/SP', 'N/A/MG', 'N/A/MS', 'Manaus/AM', 'Ribeirao Preto/SP', 'Urucuca/BA', 'Pocos De Caldas/MG', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Sao Miguel Arcanjo/SP', 'Sao Paulo/SP', 'Santarem/PA', 'N/A/ES', 'Belem/PA', 'Londrina/PR', 'N/A/SP', 'Ibate/SP', 'Apore/GO', 'Teodoro Sampaio/SP', 'Campinas/SP', 'Piracicaba/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Rifaina/SP', 'Itacoatiara/AM', 'Vicosa/MG', 'Cuiaba/MT', 'Ibirama/SC', 'N/A/PE', 'Recife/PE', 'Peruibe/SP', 'N/A/SP, Cedrela fissilis', 'Chapada Dos Guimaraes/MT', 'Sao Sebastiao Do Passe/BA', 'Murici/AL', 'Itaituba/PA', 'Pirenopolis/GO', 'Goiania/GO', 'Iguape/SP', 'N/A/AM', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Sao Carlos/SP', 'Mogi Guacu/SP', 'Manaus/AM', 'Sao Miguel Arcanjo/SP', 'Murici/AL', 'N/A/SP, Cedrela fissilis', 'N/A/ES', 'Chapada Dos Guimaraes/MT', 'Santarem/PA', 'Ribeirao Preto/SP', 'Teodoro Sampaio/SP', 'Vicosa/MG', 'Urucuca/BA', 'N/A/MG', 'N/A/PE', 'N/A/SP', 'Araraquara/SP', 'Londrina/PR', 'Itacoatiara/AM', 'Pocos De Caldas/MG', 'Cuiaba/MT', 'Apore/GO', 'Sao Paulo/SP', 'Piracicaba/SP', 'Ibate/SP', 'N/A/MS', 'Belem/PA', 'N/A/AM', 'Peruibe/SP', 'Itaituba/PA', 'Campinas/SP', 'Rio De Janeiro/RJ', 'Rifaina/SP', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Ibirama/SC', 'Sao Sebastiao Do Passe/BA', 'Iguape/SP', 'Recife/PE', 'Pirenopolis/GO', 'Itirapina/SP', 'Corumba/MS', 'Goiania/GO', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
"['10.1021/np030530j', 'Sao Paulo/SP']","['10.1021/np030530j', ['Mogi Guacu/SP', 'Ibate/SP', 'Araraquara/SP', 'N/A/MG', 'Santarem/PA', 'Sao Paulo/SP', 'Urucuca/BA', 'Sao Carlos/SP', 'Manaus/AM', 'Pocos De Caldas/MG', 'Belem/PA', 'N/A/ES', 'N/A/MS', 'Sao Miguel Arcanjo/SP', 'Londrina/PR', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Rifaina/SP', 'Apore/GO', 'Campinas/SP', 'Itacoatiara/AM', 'Piracicaba/SP', 'N/A/SP', 'Ibirama/SC', 'Peruibe/SP', 'N/A/PE', 'Vicosa/MG', 'Itaituba/PA', 'Cuiaba/MT', 'N/A/SP, Cedrela fissilis', 'Recife/PE', 'Chapada Dos Guimaraes/MT', 'Murici/AL', 'Sao Sebastiao Do Passe/BA', 'Pirenopolis/GO', 'Goiania/GO', 'Iguape/SP', 'N/A/AM', 'Rio De Janeiro/RJ', 'Corumba/MS', 'Itirapina/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Lavras/MG', 'Cordeiropolis/SP', 'Rio Verde/GO', 'Rio Claro/SP', 'N/A/CE', 'Maues/AM']]",doi_collectionSite
